com,sim_content,sin_comment,word_count,duplicate_word_ratio,no_of_sentences,length_of_comment,num_of_punctuations,is_period_sequence,stop_word_ratio,post_coment_gap,black_word_count,is_link,is_youtube_link,is_number,is_mail,comment_duplication,classifier_val
Ugy6UvwNVNL3XUolyZp4AaABAg,0.38689593699959973,0.3804798342486902,23,0.04347826086956519,2,136,0,1,0.08695652173913043,6500.916666666667,3,0,0,0,0,0,0
Ugz5D6x6vLF6RUx--bF4AaABAg,0.48207739078338524,0.5557822873889652,52,0.09615384615384615,7,311,0,0,0.11538461538461539,6481.2,3,0,0,0,0,0,0
UgweOgUjskf-SidPlOd4AaABAg,0.5888133321440162,0.5996257090715628,85,0.11764705882352944,9,500,1,1,0.058823529411764705,6457.266666666666,3,0,0,0,0,0,0
UgyMWJV3wp966b6Pw_R4AaABAg,0.23908659694992387,0.25675761268539204,6,0.0,1,32,0,0,0.0,6444.733333333334,0,0,0,0,0,0,0
UgwrRlSd7D7M92CvyP94AaABAg,0.468574264957897,0.4841975536767695,40,0.125,1,235,0,0,0.025,6443.2,1,0,0,0,0,0,0
UgyYz6BOWgMCBzWlxUt4AaABAg,0.12768547648322853,0.14373342873990821,7,0.0,1,37,2,0,0.0,6432.75,1,0,0,0,0,0,0
Ugw9xFzMJnMAmb-NON14AaABAg,0.5453076399859484,0.5995591878109003,52,0.05769230769230771,1,350,0,0,0.038461538461538464,6397.216666666666,0,0,0,0,0,0,0
Ugz4endlDtc6WhP_v2B4AaABAg,0.45474167814396793,0.5239381858996026,24,0.0,1,144,0,0,0.041666666666666664,6352.533333333334,1,0,0,0,0,0,0
UgxMXea3QTSkul1PH754AaABAg,0.2619486857817457,0.3273022281145629,10,0.0,1,65,0,0,0.0,6312.883333333333,1,0,0,0,0,0,0
UgxVzqLPnRNHkV7OQZR4AaABAg,0.3259804158508939,0.39739635567688086,23,0.04347826086956519,5,137,0,0,0.13043478260869565,6286.1,0,0,0,0,0,0,0
UgxzpXQ7usAwevh-Sqh4AaABAg,0.4514585019383637,0.48082254085601245,16,0.0,1,104,0,1,0.0625,6281.8,0,0,0,0,0,0,0
UgybrSQPOG3cpF2cMeh4AaABAg,0.5725358634496199,0.5387318745714432,152,0.23026315789473684,13,927,17,1,0.02631578947368421,6271.766666666666,31,1,0,0,0,0,1
UgxQXSHLCIt2mMAjkwN4AaABAg,0.1317872613253739,0.21285174100983978,5,0.0,1,23,0,0,0.0,6266.55,0,0,0,0,0,0,0
Ugxrx9RZc0ie4u5e2-R4AaABAg,0.2827228402716366,0.2643668646099777,6,0.0,1,38,0,0,0.0,6260.633333333333,0,0,0,0,0,0,0
UgwWJ6tO9NdJBpcpT694AaABAg,0.29715254018113696,0.34185178526110427,12,0.0,2,72,0,0,0.0,6260.066666666667,1,0,0,0,0,0,0
Ugz3W0tJ6YpZhAXC53J4AaABAg,0.09161637194007836,0.1786973236502135,4,0.0,1,21,0,1,0.5,6240.266666666666,1,0,0,0,0,0,0
Ugxeyvrs-pZCOyk_y1J4AaABAg,0.5089188541279525,0.4895610560954174,271,0.26199261992619927,12,1588,26,0,0.007380073800738007,6232.3,61,1,0,1,0,0,1
